TIME,PC,INSTRUCTION,ALU_OP,OPERAND1,OPERAND2,RESULT,ZERO,ALU_32
57000,0000000000010548,034000ef,ALU_JAL,0000000000010548,0000000000000004,000000000001054c,0,0
62000,000000000001057c,00086197,ALU_AUIPC,000000000001057c,0000000000086000,000000000009657c,0,0
108000,0000000000010580,b7418193,ALU_ADDI,000000000009657c,fffffffffffffb74,00000000000960f0,0,0
111000,0000000000010584,00008067,ALU_JALR,0000000000010584,0000000000000004,0000000000010588,0,0
115500,000000000001054c,00050793,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,0,0
118500,0000000000010550,00000517,ALU_AUIPC,0000000000010550,0000000000000000,0000000000010550,0,0
121500,0000000000010554,d9c50513,ALU_ADDI,0000000000010550,fffffffffffffd9c,00000000000102ec,0,0
124500,0000000000010558,00013583,ALU_LD,000000003fc00000,0000000000000000,000000003fc00000,0,0
177500,000000000001055c,00810613,ALU_ADDI,000000003fc00000,0000000000000008,000000003fc00008,0,0
180500,0000000000010560,ff017113,ALU_ANDI,000000003fc00000,fffffffffffffff0,000000003fc00000,0,0
183500,0000000000010564,00000697,ALU_AUIPC,0000000000010564,0000000000000000,0000000000010564,0,0
186500,0000000000010568,78c68693,ALU_ADDI,0000000000010564,000000000000078c,0000000000010cf0,0,0
189500,000000000001056c,00001717,ALU_AUIPC,000000000001056c,0000000000001000,000000000001156c,0,0
192500,0000000000010570,85c70713,ALU_ADDI,000000000001156c,fffffffffffff85c,0000000000010dc8,0,0
195500,0000000000010574,00010813,ALU_ADDI,000000003fc00000,0000000000000000,000000003fc00000,0,0
198500,0000000000010578,0f80006f,ALU_JAL,0000000000010578,0000000000000004,000000000001057c,0,0
249000,0000000000010670,ec010113,ALU_ADDI,000000003fc00000,fffffffffffffec0,000000003fbffec0,0,0
252000,0000000000010674,000008b7,ALU_LUI,0000000000000000,0000000000000000,0000000000000000,0,0
255000,0000000000010678,12813823,ALU_SD,000000003fbffec0,0000000000000130,000000003fbffff0,0,0
303500,000000000001067c,12913423,ALU_SD,000000003fbffec0,0000000000000128,000000003fbfffe8,0,0
351000,0000000000010680,13213023,ALU_SD,000000003fbffec0,0000000000000120,000000003fbfffe0,0,0
355000,0000000000010684,12113c23,ALU_SD,000000003fbffec0,0000000000000138,000000003fbffff8,0,0
359000,0000000000010688,00088313,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,0,0
362000,000000000001068c,00a13c23,ALU_SD,000000003fbffec0,0000000000000018,000000003fbffed8,0,0
420500,0000000000010690,00b12623,ALU_SW,000000003fbffec0,000000000000000c,000000003fbffecc,0,0
424500,0000000000010694,00c13823,ALU_SD,000000003fbffec0,0000000000000010,000000003fbffed0,0,0
428500,0000000000010698,00078913,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,0,0
431500,000000000001069c,00068413,ALU_ADDI,0000000000010cf0,0000000000000000,0000000000010cf0,0,0
434500,00000000000106a0,00070493,ALU_ADDI,0000000000010dc8,0000000000000000,0000000000010dc8,0,0
437500,00000000000106a4,00000793,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,0,0
440500,00000000000106a8,00030663,ALU_BEQ,0000000000000000,0000000000000000,0000000000000000,0,0
445000,00000000000106b4,00c12503,ALU_LW,000000003fbffec0,000000000000000c,000000003fbffecc,0,0
449000,00000000000106b8,01013703,ALU_LD,000000003fbffec0,0000000000000010,000000003fbffed0,0,0
453000,00000000000106bc,00150513,ALU_ADDI,0000000000000001,0000000000000001,0000000000000002,0,0
501000,00000000000106c0,00351513,ALU_SLLI,0000000000000002,0000000000000003,0000000000000010,0,0
504000,00000000000106c4,00a70533,ALU_ADD,000000003fc00008,0000000000000010,000000003fc00018,0,0
507000,00000000000106c8,9ef1a023,ALU_SW,00000000000960f0,fffffffffffff9e0,0000000000095ad0,0,0
555500,00000000000106cc,b6a1b023,ALU_SD,00000000000960f0,fffffffffffffb60,0000000000095c50,0,0
603500,00000000000106d0,000947b7,ALU_LUI,0000000000000000,0000000000094000,0000000000094000,0,0
606500,00000000000106d4,fb07b823,ALU_SD,0000000000094000,ffffffffffffffb0,0000000000093fb0,0,0
654500,00000000000106d8,00850513,ALU_ADDI,000000003fc00018,0000000000000008,000000003fc00020,0,0
657500,00000000000106dc,ff853783,ALU_LD,000000003fc00020,fffffffffffffff8,000000003fc00018,0,0
661500,00000000000106e0,fe079ce3,ALU_BNE,0000000000000000,0000000000000000,0000000000000000,0,0
664500,00000000000106e4,0bc190ef,ALU_JAL,00000000000106e4,0000000000000004,00000000000106e8,0,0
723000,00000000000297a0,00053783,ALU_LD,000000003fc00020,0000000000000000,000000003fc00020,0,0
727000,00000000000297a4,00097737,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
730000,00000000000297a8,0aa73423,ALU_SD,0000000000097000,00000000000000a8,00000000000970a8,0,0
780500,00000000000297ac,38078c63,ALU_BEQ,2f6465726168732f,0000000000000000,0000000000000001,0,0
