TIME,PC,INSTRUCTION,ALU_OP,OPERAND1,OPERAND2,RESULT,ZERO,ALU_32
57000,0000000000010358,034000ef,ALU_JAL,0000000000010358,0000000000000004,000000000001035c,0,0
57000,0000000000010358,034000ef,ALU_JAL,0000000000010358,0000000000000004,000000000001035c,0,0
105000,000000000001038c,00086197,ALU_AUIPC,000000000001038c,0000000000086000,000000000009638c,0,0
105000,000000000001038c,00086197,ALU_AUIPC,000000000001038c,0000000000086000,000000000009638c,0,0
108000,0000000000010390,d6418193,ALU_ADDI,000000000009638c,fffffffffffffd64,00000000000960f0,0,0
108000,0000000000010390,d6418193,ALU_ADDI,000000000009638c,fffffffffffffd64,00000000000960f0,0,0
111000,0000000000010394,00008067,ALU_JALR,0000000000010394,0000000000000004,0000000000010398,0,0
111000,0000000000010394,00008067,ALU_JALR,0000000000010394,0000000000000004,0000000000010398,0,0
115500,000000000001035c,00050793,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
115500,000000000001035c,00050793,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
118500,0000000000010360,00000517,ALU_AUIPC,0000000000010360,0000000000000000,0000000000010360,0,0
118500,0000000000010360,00000517,ALU_AUIPC,0000000000010360,0000000000000000,0000000000010360,0,0
121500,0000000000010364,f8c50513,ALU_ADDI,0000000000010360,ffffffffffffff8c,00000000000102ec,0,0
121500,0000000000010364,f8c50513,ALU_ADDI,0000000000010360,ffffffffffffff8c,00000000000102ec,0,0
124500,0000000000010368,00013583,ALU_LD,000000003fc00000,0000000000000000,000000003fc00000,0,0
124500,0000000000010368,00013583,ALU_LD,000000003fc00000,0000000000000000,000000003fc00000,0,0
177500,000000000001036c,00810613,ALU_ADDI,000000003fc00000,0000000000000008,000000003fc00008,0,0
177500,000000000001036c,00810613,ALU_ADDI,000000003fc00000,0000000000000008,000000003fc00008,0,0
180500,0000000000010370,ff017113,ALU_ANDI,000000003fc00000,fffffffffffffff0,000000003fc00000,0,0
180500,0000000000010370,ff017113,ALU_ANDI,000000003fc00000,fffffffffffffff0,000000003fc00000,0,0
183500,0000000000010374,00000697,ALU_AUIPC,0000000000010374,0000000000000000,0000000000010374,0,0
183500,0000000000010374,00000697,ALU_AUIPC,0000000000010374,0000000000000000,0000000000010374,0,0
186500,0000000000010378,78c68693,ALU_ADDI,0000000000010374,000000000000078c,0000000000010b00,0,0
186500,0000000000010378,78c68693,ALU_ADDI,0000000000010374,000000000000078c,0000000000010b00,0,0
189500,000000000001037c,00001717,ALU_AUIPC,000000000001037c,0000000000001000,000000000001137c,0,0
189500,000000000001037c,00001717,ALU_AUIPC,000000000001037c,0000000000001000,000000000001137c,0,0
192500,0000000000010380,85c70713,ALU_ADDI,000000000001137c,fffffffffffff85c,0000000000010bd8,0,0
192500,0000000000010380,85c70713,ALU_ADDI,000000000001137c,fffffffffffff85c,0000000000010bd8,0,0
195500,0000000000010384,00010813,ALU_ADDI,000000003fc00000,0000000000000000,000000003fc00000,0,0
195500,0000000000010384,00010813,ALU_ADDI,000000003fc00000,0000000000000000,000000003fc00000,0,0
198500,0000000000010388,0f80006f,ALU_JAL,0000000000010388,0000000000000004,000000000001038c,0,0
198500,0000000000010388,0f80006f,ALU_JAL,0000000000010388,0000000000000004,000000000001038c,0,0
249000,0000000000010480,ec010113,ALU_ADDI,000000003fc00000,fffffffffffffec0,000000003fbffec0,0,0
249000,0000000000010480,ec010113,ALU_ADDI,000000003fc00000,fffffffffffffec0,000000003fbffec0,0,0
252000,0000000000010484,000008b7,ALU_LUI,0000000000000000,0000000000000000,0000000000000000,1,0
252000,0000000000010484,000008b7,ALU_LUI,0000000000000000,0000000000000000,0000000000000000,1,0
255000,0000000000010488,12813823,ALU_SD,000000003fbffec0,0000000000000130,000000003fbffff0,0,0
255000,0000000000010488,12813823,ALU_SD,000000003fbffec0,0000000000000130,000000003fbffff0,0,0
303500,000000000001048c,12913423,ALU_SD,000000003fbffec0,0000000000000128,000000003fbfffe8,0,0
303500,000000000001048c,12913423,ALU_SD,000000003fbffec0,0000000000000128,000000003fbfffe8,0,0
307500,0000000000010490,13213023,ALU_SD,000000003fbffec0,0000000000000120,000000003fbfffe0,0,0
307500,0000000000010490,13213023,ALU_SD,000000003fbffec0,0000000000000120,000000003fbfffe0,0,0
311500,0000000000010494,12113c23,ALU_SD,000000003fbffec0,0000000000000138,000000003fbffff8,0,0
311500,0000000000010494,12113c23,ALU_SD,000000003fbffec0,0000000000000138,000000003fbffff8,0,0
