TIME,OP,PC,ADDR,SIZE,SIGN,DATA,HIT_MISS,SET,TAG,WAY,INSTRUCTION
175000, READ,0000000000010368,000000003fc00000,7,1,0000000000000001, HIT,0,0000000007f800,1,00013583
175500, READ,0000000000010368,000000003fc00000,7,1,0000000000000001, HIT,0,0000000007f800,1,00013583
301000,WRITE,0000000000010488,000000003fbffff0,7,1,0000000000000000, HIT,31,0000000007f7ff,1,12813823
301500,WRITE,0000000000010488,000000003fbffff0,7,1,0000000000000000, HIT,31,0000000007f7ff,1,12813823
305000,WRITE,000000000001048c,000000003fbfffe8,7,1,0000000000000000, HIT,31,0000000007f7ff,1,12913423
305500,WRITE,000000000001048c,000000003fbfffe8,7,1,0000000000000000, HIT,31,0000000007f7ff,1,12913423
309000,WRITE,0000000000010490,000000003fbfffe0,7,1,0000000000000000, HIT,31,0000000007f7ff,1,13213023
309500,WRITE,0000000000010490,000000003fbfffe0,7,1,0000000000000000, HIT,31,0000000007f7ff,1,13213023
313000,WRITE,0000000000010494,000000003fbffff8,7,1,000000000001035c, HIT,31,0000000007f7ff,1,12113c23
313500,WRITE,0000000000010494,000000003fbffff8,7,1,000000000001035c, HIT,31,0000000007f7ff,1,12113c23
370000,WRITE,000000000001049c,000000003fbffed8,7,1,00000000000102ec, HIT,27,0000000007f7ff,1,00a13c23
370500,WRITE,000000000001049c,000000003fbffed8,7,1,00000000000102ec, HIT,27,0000000007f7ff,1,00a13c23
374000,WRITE,00000000000104a0,000000003fbffecc,4,1,0000000000000001, HIT,27,0000000007f7ff,1,00b12623
374500,WRITE,00000000000104a0,000000003fbffecc,4,1,0000000000000001, HIT,27,0000000007f7ff,1,00b12623
378000,WRITE,00000000000104a4,000000003fbffed0,7,1,000000003fc00008, HIT,27,0000000007f7ff,1,00c13823
378500,WRITE,00000000000104a4,000000003fbffed0,7,1,000000003fc00008, HIT,27,0000000007f7ff,1,00c13823
445500, READ,00000000000104c4,000000003fbffecc,4,1,0000000000000001, HIT,27,0000000007f7ff,1,00c12503
446000, READ,00000000000104c4,000000003fbffecc,4,1,0000000000000001, HIT,27,0000000007f7ff,1,00c12503
449500, READ,00000000000104c8,000000003fbffed0,7,1,000000003fc00008, HIT,27,0000000007f7ff,1,01013703
450000, READ,00000000000104c8,000000003fbffed0,7,1,000000003fc00008, HIT,27,0000000007f7ff,1,01013703
511000,WRITE,00000000000104d8,0000000000095ad0,4,1,0000000000000000, HIT,11,0000000000012b,1,9ef1a023
511500,WRITE,00000000000104d8,0000000000095ad0,4,1,0000000000000000, HIT,11,0000000000012b,1,9ef1a023
559000,WRITE,00000000000104dc,0000000000095c50,7,1,000000003fc00018, HIT,17,0000000000012b,1,b6a1b023
559500,WRITE,00000000000104dc,0000000000095c50,7,1,000000003fc00018, HIT,17,0000000000012b,1,b6a1b023
610000,WRITE,00000000000104e4,0000000000093fb0,7,1,000000003fc00000, HIT,30,00000000000127,1,fb07b823
610500,WRITE,00000000000104e4,0000000000093fb0,7,1,000000003fc00000, HIT,30,00000000000127,1,fb07b823
617000, READ,00000000000104ec,000000003fc00018,7,1,0000000000000000, HIT,0,0000000007f800,1,ff853783
