TIME,PC,INSTRUCTION,OPCODE,FUNCT3,RS1,RS2,RD,JUMP_IF,ALU_OP,BRANCH_TAKEN,JUMP_ABS,REG_WRITE,MEM_READ,MEM_WRITE,MEM_TO_REG,IS_LOAD,IS_STORE,IS_ECALL,IS_BREAK,ALU_WIDTH_32,SIGNED_TYPE,ALU_USE_IMMED,DATA_SIZE,DATA_SIGN
56000,0000000000010358,034000ef,OP_JAL,0,00,00,01,JUMP_YES,ALU_JAL,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56000,0000000000010358,034000ef,OP_JAL,0,00,00,01,JUMP_YES,ALU_JAL,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56250,0000000000010358,034000ef,OP_JAL,0,00,00,01,JUMP_YES,ALU_JAL,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56250,0000000000010358,034000ef,OP_JAL,0,00,00,01,JUMP_YES,ALU_JAL,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
104000,000000000001038c,00086197,OP_AUIPC,6,00,00,03,JUMP_NO,ALU_AUIPC,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
104000,000000000001038c,00086197,OP_AUIPC,6,00,00,03,JUMP_NO,ALU_AUIPC,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
104250,000000000001038c,00086197,OP_AUIPC,6,00,00,03,JUMP_NO,ALU_AUIPC,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
104250,000000000001038c,00086197,OP_AUIPC,6,00,00,03,JUMP_NO,ALU_AUIPC,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
107000,0000000000010390,d6418193,OP_OP_IMM,0,03,00,03,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
107000,0000000000010390,d6418193,OP_OP_IMM,0,03,00,03,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
107250,0000000000010390,d6418193,OP_OP_IMM,0,03,00,03,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
107250,0000000000010390,d6418193,OP_OP_IMM,0,03,00,03,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
110000,0000000000010394,00008067,OP_JALR,0,01,00,00,JUMP_YES,ALU_JALR,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
110000,0000000000010394,00008067,OP_JALR,0,01,00,00,JUMP_YES,ALU_JALR,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
110250,0000000000010394,00008067,OP_JALR,0,01,00,00,JUMP_YES,ALU_JALR,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
110250,0000000000010394,00008067,OP_JALR,0,01,00,00,JUMP_YES,ALU_JALR,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
114500,000000000001035c,00050793,OP_OP_IMM,0,0a,00,0f,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
114500,000000000001035c,00050793,OP_OP_IMM,0,0a,00,0f,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
114750,000000000001035c,00050793,OP_OP_IMM,0,0a,00,0f,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
114750,000000000001035c,00050793,OP_OP_IMM,0,0a,00,0f,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
117500,0000000000010360,00000517,OP_AUIPC,0,00,00,0a,JUMP_NO,ALU_AUIPC,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
117500,0000000000010360,00000517,OP_AUIPC,0,00,00,0a,JUMP_NO,ALU_AUIPC,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
117750,0000000000010360,00000517,OP_AUIPC,0,00,00,0a,JUMP_NO,ALU_AUIPC,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
117750,0000000000010360,00000517,OP_AUIPC,0,00,00,0a,JUMP_NO,ALU_AUIPC,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
120500,0000000000010364,f8c50513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
