TIME,PC,INSTRUCTION,REG_A_CONTENTS,REG_B_CONTENTS,REGA_FINAL,REGB_FINAL,ALU_RESULT,JUMP_TARGET,JUMP_TAKEN,ALU_OP,ALU_OP_NAME,OPCODE,OPCODE_NAME,IMMEDIATE
57500,0000000000010358,034000ef,0000000000000000,0000000000000000,0000000000000000,0000000000010358,0000000000000004,000000000001035c,000000000001038c,1, 70,ALU_JAL,111,OP_JAL,0000000000000034
105500,000000000001038c,00086197,0000000000000000,0000000000000000,0000000000000000,000000000001038c,0000000000086000,000000000009638c,0000000000000000,0, 73,ALU_AUIPC, 23,OP_AUIPC,0000000000086000
108500,0000000000010390,d6418193,000000000009638c,0000000000000000,0000000000000000,000000000009638c,fffffffffffffd64,00000000000960f0,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,fffffffffffffd64
111500,0000000000010394,00008067,000000000001035c,0000000000000000,0000000000000000,0000000000010394,0000000000000004,0000000000010398,000000000001035c,1, 71,ALU_JALR,103,OP_JALR,0000000000000000
116000,000000000001035c,00050793,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,0000000000000000
119000,0000000000010360,00000517,0000000000000000,0000000000000000,0000000000000000,0000000000010360,0000000000000000,0000000000010360,0000000000000000,0, 73,ALU_AUIPC, 23,OP_AUIPC,0000000000000000
122000,0000000000010364,f8c50513,0000000000010360,0000000000000000,0000000000000000,0000000000010360,ffffffffffffff8c,00000000000102ec,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,ffffffffffffff8c
125000,0000000000010368,00013583,000000003fc00000,0000000000000000,0000000000000000,000000003fc00000,0000000000000000,000000003fc00000,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,0000000000000000
178000,000000000001036c,00810613,000000003fc00000,0000000000000000,0000000000000000,000000003fc00000,0000000000000008,000000003fc00008,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,0000000000000008
181000,0000000000010370,ff017113,000000003fc00000,0000000000000000,0000000000000000,000000003fc00000,fffffffffffffff0,000000003fc00000,0000000000000000,0, 21,ALU_ANDI, 19,OP_OP_IMM,fffffffffffffff0
184000,0000000000010374,00000697,0000000000000000,0000000000000000,0000000000000000,0000000000010374,0000000000000000,0000000000010374,0000000000000000,0, 73,ALU_AUIPC, 23,OP_AUIPC,0000000000000000
