TIME,PC,INSTRUCTION,REG_DEST,PREV_VALUE,NEW_VALUE,UPDATE_TYPE
59500,0000000000010358,034000ef,x1,0000000000000000,000000000001035c,JUMP
107500,000000000001038c,00086197,x3,0000000000000000,000000000009638c,ALU
110500,0000000000010390,d6418193,x3,000000000009638c,00000000000960f0,ALU
118000,000000000001035c,00050793,x15,0000000000000000,0000000000000000,ALU
121000,0000000000010360,00000517,x10,0000000000000000,0000000000010360,ALU
124000,0000000000010364,f8c50513,x10,0000000000010360,00000000000102ec,ALU
177000,0000000000010368,00013583,x11,0000000000000000,0000000000000001,LOAD
180000,000000000001036c,00810613,x12,0000000000000000,000000003fc00008,ALU
183000,0000000000010370,ff017113,x2,000000003fc00000,000000003fc00000,ALU
186000,0000000000010374,00000697,x13,0000000000000000,0000000000010374,ALU
189000,0000000000010378,78c68693,x13,0000000000010374,0000000000010b00,ALU
192000,000000000001037c,00001717,x14,0000000000000000,000000000001137c,ALU
195000,0000000000010380,85c70713,x14,000000000001137c,0000000000010bd8,ALU
198000,0000000000010384,00010813,x16,0000000000000000,000000003fc00000,ALU
251500,0000000000010480,ec010113,x2,000000003fc00000,000000003fbffec0,ALU
254500,0000000000010484,000008b7,x17,0000000000000000,0000000000000000,ALU
318000,0000000000010498,00088313,x6,0000000000000000,0000000000000000,ALU
383000,00000000000104a8,00078913,x18,0000000000000000,0000000000000000,ALU
386000,00000000000104ac,00068413,x8,0000000000000000,0000000000010b00,ALU
389000,00000000000104b0,00070493,x9,0000000000000000,0000000000010bd8,ALU
392000,00000000000104b4,00000793,x15,0000000000000000,0000000000000000,ALU
447500,00000000000104c4,00c12503,x10,00000000000102ec,0000000000000001,LOAD
451500,00000000000104c8,01013703,x14,0000000000010bd8,000000003fc00008,LOAD
454500,00000000000104cc,00150513,x10,0000000000000001,0000000000000002,ALU
457500,00000000000104d0,00351513,x10,0000000000000002,0000000000000010,ALU
460500,00000000000104d4,00a70533,x10,0000000000000010,000000003fc00018,ALU
564000,00000000000104e0,000947b7,x15,0000000000000000,0000000000094000,ALU
615000,00000000000104e8,00850513,x10,000000003fc00018,000000003fc00020,ALU
619000,00000000000104ec,ff853783,x15,0000000000094000,0000000000000000,LOAD
625000,00000000000104f4,1b8190ef,x1,000000000001035c,00000000000104f8,JUMP
684500,00000000000296ac,00053783,x15,0000000000000000,2f6465726168732f,LOAD
687500,00000000000296b0,00097737,x14,000000003fc00008,0000000000097000,ALU
744000,00000000000296bc,00097fb7,x31,0000000000000000,0000000000097000,ALU
843000,00000000000296c0,0f0fb703,x14,0000000000097000,0000000000000000,LOAD
846000,00000000000296c4,f2010113,x2,000000003fbffec0,000000003fbffde0,ALU
898000,00000000000296cc,b801b703,x14,0000000000000000,0000000000000000,LOAD
901000,00000000000296d0,00094eb7,x29,0000000000000000,0000000000094000,ALU
904000,00000000000296d4,00097e37,x28,0000000000000000,0000000000097000,ALU
912000,00000000000296dc,fb8ea703,x14,0000000000000000,0000000000000001,LOAD
1059000,00000000000296e8,138e2703,x14,0000000000000001,0000000000000000,LOAD
1071000,00000000000296f4,b781a703,x14,0000000000000000,0000000000000000,LOAD
1074000,00000000000296f8,000974b7,x9,0000000000010bd8,0000000000097000,ALU
1135500,0000000000029704,b881b703,x14,0000000000000000,0000000000000000,LOAD
1201000,0000000000029710,0b04b703,x14,0000000000000000,0000000000000000,LOAD
1204000,0000000000029714,00097937,x18,0000000000000000,0000000000097000,ALU
1207000,0000000000029718,00094837,x16,000000003fc00000,0000000000094000,ALU
1266000,0000000000029720,9a81b703,x14,0000000000000000,0000000000001000,LOAD
1282000,0000000000029730,10893703,x14,0000000000001000,0000000000000000,LOAD
1285000,0000000000029734,fa080813,x16,0000000000094000,0000000000093fa0,ALU
1288000,0000000000029738,00097a37,x20,0000000000000000,0000000000097000,ALU
1340500,0000000000029740,000979b7,x19,0000000000000000,0000000000097000,ALU
1343500,0000000000029744,00076737,x14,0000000000000000,0000000000076000,ALU
1371500,0000000000029760,00083d83,x27,0000000000000000,0000000000000000,LOAD
1375500,0000000000029764,0e8a2c83,x25,0000000000000000,0000000000000000,LOAD
1378500,0000000000029768,00100613,x12,000000003fc00008,0000000000000001,ALU
1382500,000000000002976c,0d09bb83,x23,0000000000000000,0000000000000000,LOAD
1385500,0000000000029770,00000b13,x22,0000000000000000,0000000000000000,ALU
1465500,0000000000029794,00000c13,x24,0000000000000000,0000000000000000,ALU
1468500,0000000000029798,00000d13,x26,0000000000000000,0000000000000000,ALU
1471500,000000000002979c,00000f13,x30,0000000000000000,0000000000000000,ALU
1474500,00000000000297a0,00000313,x6,0000000000000000,0000000000000000,ALU
1477500,00000000000297a4,00000893,x17,0000000000000000,0000000000000000,ALU
1480500,00000000000297a8,00000593,x11,0000000000000001,0000000000000000,ALU
1483500,00000000000297ac,01e00693,x13,0000000000010b00,000000000000001e,ALU
1486500,00000000000297b0,0f070713,x14,0000000000076000,00000000000760f0,ALU
1489500,00000000000297b4,ffd78793,x15,2f6465726168732f,2f6465726168732c,ALU
1544500,00000000000297dc,01050513,x10,000000003fc00020,000000003fc00030,ALU
1548500,00000000000297e0,00053783,x15,2f6465726168732c,6f72702f73747365,LOAD
1556000,00000000000297b4,ffd78793,x15,6f72702f73747365,6f72702f73747362,ALU
1563500,00000000000297dc,01050513,x10,000000003fc00030,000000003fc00040,ALU
