TIME,ADDRESS,SNOOP_TYPE,TAG,INDEX,MATCH_FOUND,WAY,WAS_DIRTY,WAS_VALID
2354000,000000003fbffd00,d,0000000007f7ff,20,0,,,
2355000,000000003fbffd40,d,0000000007f7ff,21,0,,,
2356000,000000003fbffd80,d,0000000007f7ff,22,0,,,
2357000,000000003fbffdc0,d,0000000007f7ff,23,0,,,
2358000,000000003fbffe00,d,0000000007f7ff,24,0,,,
2359000,000000003fbffe40,d,0000000007f7ff,25,0,,,
2360000,000000003fbffe80,d,0000000007f7ff,26,0,,,
2361000,000000003fbffec0,d,0000000007f7ff,27,0,,,
2362000,000000003fbfffc0,d,0000000007f7ff,31,0,,,
7139000,000000003fbfee00,d,0000000007f7fd,24,0,,,
7140000,000000003fbffe00,d,0000000007f7ff,24,0,,,
7141000,000000003fbffe40,d,0000000007f7ff,25,0,,,
7142000,000000003fbffe80,d,0000000007f7ff,26,0,,,
8633500,0000000000095680,d,0000000000012a,26,0,,,
17928000,0000000000095680,d,0000000000012a,26,0,,,
23189500,0000000000095680,d,0000000000012a,26,0,,,
25626000,0000000000095680,d,0000000000012a,26,0,,,
26894500,0000000000095680,d,0000000000012a,26,0,,,
28692000,0000000000095680,d,0000000000012a,26,0,,,
29291500,0000000000095680,d,0000000000012a,26,0,,,
30234000,0000000000095680,d,0000000000012a,26,0,,,
30383500,0000000000095680,d,0000000000012a,26,0,,,
30536500,0000000000095680,d,0000000000012a,26,0,,,
30641500,0000000000095680,d,0000000000012a,26,0,,,
30746500,0000000000095680,d,0000000000012a,26,0,,,
30804000,0000000000095680,d,0000000000012a,26,0,,,
30861500,0000000000095680,d,0000000000012a,26,0,,,
30919000,0000000000095680,d,0000000000012a,26,0,,,
30976500,0000000000095680,d,0000000000012a,26,0,,,
31034000,0000000000095680,d,0000000000012a,26,0,,,
31091500,0000000000095680,d,0000000000012a,26,0,,,
32624500,0000000000095680,d,0000000000012a,26,0,,,
41144000,0000000000096c00,d,0000000000012d,16,0,,,
41678500,0000000000096c00,d,0000000000012d,16,0,,,
50065000,0000000000097780,d,0000000000012e,30,0,,,
51548000,000000003fbffd00,d,0000000007f7ff,20,0,,,
51549000,000000003fbffd40,d,0000000007f7ff,21,0,,,
51550000,000000003fbffd80,d,0000000007f7ff,22,0,,,
51551000,000000003fbffdc0,d,0000000007f7ff,23,0,,,
51552000,000000003fbffe00,d,0000000007f7ff,24,0,,,
51553000,000000003fbffe40,d,0000000007f7ff,25,0,,,
51554000,000000003fbffe80,d,0000000007f7ff,26,0,,,
51555000,000000003fbffec0,d,0000000007f7ff,27,0,,,
51556000,000000003fbfff40,d,0000000007f7ff,29,0,,,
52148500,0000000000095680,d,0000000000012a,26,0,,,
54462000,0000000000095680,d,0000000000012a,26,0,,,
56355000,0000000000097780,d,0000000000012e,30,0,,,
59870000,0000000000097780,d,0000000000012e,30,0,,,
60132000,0000000000097780,d,0000000000012e,30,0,,,
63659000,0000000000097780,d,0000000000012e,30,0,,,
63921000,0000000000097780,d,0000000000012e,30,0,,,
67331000,0000000000097780,d,0000000000012e,30,0,,,
67593000,0000000000097780,d,0000000000012e,30,0,,,
71051000,0000000000097780,d,0000000000012e,30,0,,,
71313000,0000000000097780,d,0000000000012e,30,0,,,
74657000,0000000000097780,d,0000000000012e,30,0,,,
74919000,0000000000097780,d,0000000000012e,30,0,,,
78398000,0000000000097780,d,0000000000012e,30,0,,,
78660000,0000000000097780,d,0000000000012e,30,0,,,
82004000,0000000000097780,d,0000000000012e,30,0,,,
82266000,0000000000097780,d,0000000000012e,30,0,,,
85679000,0000000000097780,d,0000000000012e,30,0,,,
86022000,0000000000097780,d,0000000000012e,30,0,,,
96971000,0000000000097780,d,0000000000012e,30,0,,,
97233000,0000000000097780,d,0000000000012e,30,0,,,
108077000,0000000000097780,d,0000000000012e,30,0,,,
108339000,0000000000097780,d,0000000000012e,30,0,,,
119300000,0000000000097780,d,0000000000012e,30,0,,,
119562000,0000000000097780,d,0000000000012e,30,0,,,
130421000,0000000000097780,d,0000000000012e,30,0,,,
130683000,0000000000097780,d,0000000000012e,30,0,,,
141677000,0000000000097780,d,0000000000012e,30,0,,,
141939000,0000000000097780,d,0000000000012e,30,0,,,
152840000,0000000000097780,d,0000000000012e,30,0,,,
153102000,0000000000097780,d,0000000000012e,30,0,,,
164162000,0000000000097780,d,0000000000012e,30,0,,,
164424000,0000000000097780,d,0000000000012e,30,0,,,
175301000,0000000000097780,d,0000000000012e,30,0,,,
175563000,0000000000097780,d,0000000000012e,30,0,,,
193757000,0000000000097780,d,0000000000012e,30,0,,,
194019000,0000000000097780,d,0000000000012e,30,0,,,
212237000,0000000000097780,d,0000000000012e,30,0,,,
212499000,0000000000097780,d,0000000000012e,30,0,,,
230765000,0000000000097780,d,0000000000012e,30,0,,,
231027000,0000000000097780,d,0000000000012e,30,0,,,
249047000,0000000000097780,d,0000000000012e,30,0,,,
249309000,0000000000097780,d,0000000000012e,30,0,,,
267464000,0000000000097780,d,0000000000012e,30,0,,,
267726000,0000000000097780,d,0000000000012e,30,0,,,
285812000,0000000000097780,d,0000000000012e,30,0,,,
286074000,0000000000097780,d,0000000000012e,30,0,,,
304154000,0000000000097780,d,0000000000012e,30,0,,,
304545000,0000000000097780,d,0000000000012e,30,0,,,
322310000,0000000000097780,d,0000000000012e,30,0,,,
322572000,0000000000097780,d,0000000000012e,30,0,,,
340943000,0000000000097780,d,0000000000012e,30,0,,,
341205000,0000000000097780,d,0000000000012e,30,0,,,
359813000,0000000000097780,d,0000000000012e,30,0,,,
360075000,0000000000097780,d,0000000000012e,30,0,,,
378035000,0000000000097780,d,0000000000012e,30,0,,,
378297000,0000000000097780,d,0000000000012e,30,0,,,
396329000,0000000000097780,d,0000000000012e,30,0,,,
396591000,0000000000097780,d,0000000000012e,30,0,,,
415430000,0000000000097780,d,0000000000012e,30,0,,,
415692000,0000000000097780,d,0000000000012e,30,0,,,
434474000,0000000000097780,d,0000000000012e,30,0,,,
434736000,0000000000097780,d,0000000000012e,30,0,,,
453527000,0000000000097780,d,0000000000012e,30,0,,,
453789000,0000000000097780,d,0000000000012e,30,0,,,
472424000,0000000000097780,d,0000000000012e,30,0,,,
472686000,0000000000097780,d,0000000000012e,30,0,,,
491867000,0000000000097780,d,0000000000012e,30,0,,,
492129000,0000000000097780,d,0000000000012e,30,0,,,
510296000,0000000000097780,d,0000000000012e,30,0,,,
510558000,0000000000097780,d,0000000000012e,30,0,,,
528674000,0000000000097780,d,0000000000012e,30,0,,,
528936000,0000000000097780,d,0000000000012e,30,0,,,
547532000,0000000000097780,d,0000000000012e,30,0,,,
547794000,0000000000097780,d,0000000000012e,30,0,,,
566144000,0000000000097780,d,0000000000012e,30,0,,,
566406000,0000000000097780,d,0000000000012e,30,0,,,
584822000,0000000000097780,d,0000000000012e,30,0,,,
585195000,0000000000097780,d,0000000000012e,30,0,,,
603563000,0000000000097780,d,0000000000012e,30,0,,,
603825000,0000000000097780,d,0000000000012e,30,0,,,
622193000,0000000000097780,d,0000000000012e,30,0,,,
622455000,0000000000097780,d,0000000000012e,30,0,,,
640763000,0000000000097780,d,0000000000012e,30,0,,,
641025000,0000000000097780,d,0000000000012e,30,0,,,
659216000,0000000000097780,d,0000000000012e,30,0,,,
659478000,0000000000097780,d,0000000000012e,30,0,,,
677816000,0000000000097780,d,0000000000012e,30,0,,,
678078000,0000000000097780,d,0000000000012e,30,0,,,
703292000,0000000000097780,d,0000000000012e,30,0,,,
703554000,0000000000097780,d,0000000000012e,30,0,,,
728693000,0000000000097780,d,0000000000012e,30,0,,,
728955000,0000000000097780,d,0000000000012e,30,0,,,
754574000,0000000000097780,d,0000000000012e,30,0,,,
754836000,0000000000097780,d,0000000000012e,30,0,,,
780467000,0000000000097780,d,0000000000012e,30,0,,,
780729000,0000000000097780,d,0000000000012e,30,0,,,
806204000,0000000000097780,d,0000000000012e,30,0,,,
806466000,0000000000097780,d,0000000000012e,30,0,,,
831743000,0000000000097780,d,0000000000012e,30,0,,,
832005000,0000000000097780,d,0000000000012e,30,0,,,
857216000,0000000000097780,d,0000000000012e,30,0,,,
857478000,0000000000097780,d,0000000000012e,30,0,,,
883226000,0000000000097780,d,0000000000012e,30,0,,,
883488000,0000000000097780,d,0000000000012e,30,0,,,
909299000,0000000000097780,d,0000000000012e,30,0,,,
909561000,0000000000097780,d,0000000000012e,30,0,,,
935297000,0000000000097780,d,0000000000012e,30,0,,,
935559000,0000000000097780,d,0000000000012e,30,0,,,
968027000,0000000000097780,d,0000000000012e,30,0,,,
968289000,0000000000097780,d,0000000000012e,30,0,,,
1001255000,0000000000097780,d,0000000000012e,30,0,,,
1001517000,0000000000097780,d,0000000000012e,30,0,,,
1033958000,0000000000097780,d,0000000000012e,30,0,,,
1034220000,0000000000097780,d,0000000000012e,30,0,,,
1067312000,0000000000097780,d,0000000000012e,30,0,,,
1067574000,0000000000097780,d,0000000000012e,30,0,,,
1108880000,0000000000097780,d,0000000000012e,30,0,,,
1109142000,0000000000097780,d,0000000000012e,30,0,,,
1150568000,0000000000097780,d,0000000000012e,30,0,,,
1150830000,0000000000097780,d,0000000000012e,30,0,,,
1199270000,0000000000097780,d,0000000000012e,30,0,,,
1199532000,0000000000097780,d,0000000000012e,30,0,,,
1263056000,0000000000097780,d,0000000000012e,30,0,,,
1263318000,0000000000097780,d,0000000000012e,30,0,,,
1372859000,0000000000097780,d,0000000000012e,30,0,,,
1373199000,0000000000097780,d,0000000000012e,30,0,,,
1445501000,0000000000097780,d,0000000000012e,30,0,,,
1445763000,0000000000097780,d,0000000000012e,30,0,,,
1509665000,0000000000097780,d,0000000000012e,30,0,,,
1509978000,0000000000097780,d,0000000000012e,30,0,,,
1589666000,0000000000097780,d,0000000000012e,30,0,,,
1589928000,0000000000097780,d,0000000000012e,30,0,,,
1730288000,0000000000097780,d,0000000000012e,30,0,,,
1730550000,0000000000097780,d,0000000000012e,30,0,,,
1771673000,0000000000097780,d,0000000000012e,30,0,,,
1771935000,0000000000097780,d,0000000000012e,30,0,,,
1805333000,0000000000097780,d,0000000000012e,30,0,,,
1805595000,0000000000097780,d,0000000000012e,30,0,,,
1831622000,0000000000097780,d,0000000000012e,30,0,,,
1831884000,0000000000097780,d,0000000000012e,30,0,,,
1857746000,0000000000097780,d,0000000000012e,30,0,,,
1858008000,0000000000097780,d,0000000000012e,30,0,,,
1884101000,0000000000097780,d,0000000000012e,30,0,,,
1884363000,0000000000097780,d,0000000000012e,30,0,,,
1910411000,0000000000097780,d,0000000000012e,30,0,,,
1910673000,0000000000097780,d,0000000000012e,30,0,,,
1935854000,0000000000097780,d,0000000000012e,30,0,,,
1936116000,0000000000097780,d,0000000000012e,30,0,,,
1961576000,0000000000097780,d,0000000000012e,30,0,,,
1961838000,0000000000097780,d,0000000000012e,30,0,,,
1987427000,0000000000097780,d,0000000000012e,30,0,,,
1987689000,0000000000097780,d,0000000000012e,30,0,,,
2006291000,0000000000097780,d,0000000000012e,30,0,,,
2006553000,0000000000097780,d,0000000000012e,30,0,,,
2024942000,0000000000097780,d,0000000000012e,30,0,,,
2025204000,0000000000097780,d,0000000000012e,30,0,,,
2043053000,0000000000097780,d,0000000000012e,30,0,,,
2043315000,0000000000097780,d,0000000000012e,30,0,,,
2061803000,0000000000097780,d,0000000000012e,30,0,,,
2062065000,0000000000097780,d,0000000000012e,30,0,,,
2080421000,0000000000097780,d,0000000000012e,30,0,,,
2080683000,0000000000097780,d,0000000000012e,30,0,,,
2099183000,0000000000097780,d,0000000000012e,30,0,,,
2099445000,0000000000097780,d,0000000000012e,30,0,,,
2117720000,0000000000097780,d,0000000000012e,30,0,,,
2117982000,0000000000097780,d,0000000000012e,30,0,,,
2136314000,0000000000097780,d,0000000000012e,30,0,,,
2136576000,0000000000097780,d,0000000000012e,30,0,,,
2147450000,0000000000097780,d,0000000000012e,30,0,,,
2147712000,0000000000097780,d,0000000000012e,30,0,,,
2158412000,0000000000097780,d,0000000000012e,30,0,,,
2158674000,0000000000097780,d,0000000000012e,30,0,,,
2169545000,0000000000097780,d,0000000000012e,30,0,,,
2169807000,0000000000097780,d,0000000000012e,30,0,,,
2180567000,0000000000097780,d,0000000000012e,30,0,,,
2180829000,0000000000097780,d,0000000000012e,30,0,,,
2191589000,0000000000097780,d,0000000000012e,30,0,,,
2191851000,0000000000097780,d,0000000000012e,30,0,,,
2202758000,0000000000097780,d,0000000000012e,30,0,,,
2203020000,0000000000097780,d,0000000000012e,30,0,,,
2213816000,0000000000097780,d,0000000000012e,30,0,,,
2214078000,0000000000097780,d,0000000000012e,30,0,,,
2225099000,0000000000097780,d,0000000000012e,30,0,,,
2225361000,0000000000097780,d,0000000000012e,30,0,,,
2236184000,0000000000097780,d,0000000000012e,30,0,,,
2236446000,0000000000097780,d,0000000000012e,30,0,,,
2247413000,0000000000097780,d,0000000000012e,30,0,,,
2247675000,0000000000097780,d,0000000000012e,30,0,,,
2258561000,0000000000097780,d,0000000000012e,30,0,,,
2258823000,0000000000097780,d,0000000000012e,30,0,,,
2269220000,0000000000097780,d,0000000000012e,30,0,,,
2269482000,0000000000097780,d,0000000000012e,30,0,,,
2279789000,0000000000097780,d,0000000000012e,30,0,,,
2280051000,0000000000097780,d,0000000000012e,30,0,,,
2290364000,0000000000097780,d,0000000000012e,30,0,,,
2290626000,0000000000097780,d,0000000000012e,30,0,,,
2300927000,0000000000097780,d,0000000000012e,30,0,,,
2301318000,0000000000097780,d,0000000000012e,30,0,,,
2311568000,0000000000097780,d,0000000000012e,30,0,,,
2311830000,0000000000097780,d,0000000000012e,30,0,,,
2313671000,0000000000097780,d,0000000000012e,30,0,,,
2314322000,0000000000097780,d,0000000000012e,30,0,,,
2319251000,0000000000097780,d,0000000000012e,30,0,,,
2319513000,0000000000097780,d,0000000000012e,30,0,,,
2322857000,0000000000097780,d,0000000000012e,30,0,,,
2323119000,0000000000097780,d,0000000000012e,30,0,,,
2326580000,0000000000097780,d,0000000000012e,30,0,,,
2326842000,0000000000097780,d,0000000000012e,30,0,,,
2330186000,0000000000097780,d,0000000000012e,30,0,,,
2330448000,0000000000097780,d,0000000000012e,30,0,,,
2333972000,0000000000097780,d,0000000000012e,30,0,,,
2334234000,0000000000097780,d,0000000000012e,30,0,,,
2337644000,0000000000097780,d,0000000000012e,30,0,,,
2337906000,0000000000097780,d,0000000000012e,30,0,,,
2341433000,0000000000097780,d,0000000000012e,30,0,,,
2341695000,0000000000097780,d,0000000000012e,30,0,,,
2345108000,0000000000097780,d,0000000000012e,30,0,,,
2345370000,0000000000097780,d,0000000000012e,30,0,,,
2356064000,0000000000097780,d,0000000000012e,30,0,,,
2356326000,0000000000097780,d,0000000000012e,30,0,,,
2366891000,0000000000097780,d,0000000000012e,30,0,,,
2367153000,0000000000097780,d,0000000000012e,30,0,,,
2377721000,0000000000097780,d,0000000000012e,30,0,,,
2377983000,0000000000097780,d,0000000000012e,30,0,,,
2388923000,0000000000097780,d,0000000000012e,30,0,,,
2389185000,0000000000097780,d,0000000000012e,30,0,,,
2400053000,0000000000097780,d,0000000000012e,30,0,,,
2400315000,0000000000097780,d,0000000000012e,30,0,,,
2411288000,0000000000097780,d,0000000000012e,30,0,,,
2411550000,0000000000097780,d,0000000000012e,30,0,,,
2422403000,0000000000097780,d,0000000000012e,30,0,,,
2422665000,0000000000097780,d,0000000000012e,30,0,,,
2441183000,0000000000097780,d,0000000000012e,30,0,,,
2441445000,0000000000097780,d,0000000000012e,30,0,,,
2459885000,0000000000097780,d,0000000000012e,30,0,,,
2460147000,0000000000097780,d,0000000000012e,30,0,,,
2478428000,0000000000097780,d,0000000000012e,30,0,,,
2478690000,0000000000097780,d,0000000000012e,30,0,,,
2497115000,0000000000097780,d,0000000000012e,30,0,,,
2497377000,0000000000097780,d,0000000000012e,30,0,,,
2515616000,0000000000097780,d,0000000000012e,30,0,,,
2515878000,0000000000097780,d,0000000000012e,30,0,,,
2533646000,0000000000097780,d,0000000000012e,30,0,,,
2533908000,0000000000097780,d,0000000000012e,30,0,,,
2552423000,0000000000097780,d,0000000000012e,30,0,,,
2552685000,0000000000097780,d,0000000000012e,30,0,,,
2570993000,0000000000097780,d,0000000000012e,30,0,,,
2571255000,0000000000097780,d,0000000000012e,30,0,,,
2589794000,0000000000097780,d,0000000000012e,30,0,,,
2590056000,0000000000097780,d,0000000000012e,30,0,,,
2608715000,0000000000097780,d,0000000000012e,30,0,,,
2608977000,0000000000097780,d,0000000000012e,30,0,,,
2627393000,0000000000097780,d,0000000000012e,30,0,,,
2627655000,0000000000097780,d,0000000000012e,30,0,,,
2645963000,0000000000097780,d,0000000000012e,30,0,,,
2646225000,0000000000097780,d,0000000000012e,30,0,,,
2664479000,0000000000097780,d,0000000000012e,30,0,,,
2664792000,0000000000097780,d,0000000000012e,30,0,,,
2683034000,0000000000097780,d,0000000000012e,30,0,,,
2683395000,0000000000097780,d,0000000000012e,30,0,,,
2702324000,0000000000097780,d,0000000000012e,30,0,,,
2702586000,0000000000097780,d,0000000000012e,30,0,,,
2721617000,0000000000097780,d,0000000000012e,30,0,,,
2721879000,0000000000097780,d,0000000000012e,30,0,,,
2741111000,0000000000097780,d,0000000000012e,30,0,,,
2741373000,0000000000097780,d,0000000000012e,30,0,,,
2759978000,0000000000097780,d,0000000000012e,30,0,,,
2760240000,0000000000097780,d,0000000000012e,30,0,,,
2779427000,0000000000097780,d,0000000000012e,30,0,,,
2779689000,0000000000097780,d,0000000000012e,30,0,,,
2797586000,0000000000097780,d,0000000000012e,30,0,,,
2797848000,0000000000097780,d,0000000000012e,30,0,,,
2815631000,0000000000097780,d,0000000000012e,30,0,,,
2815995000,0000000000097780,d,0000000000012e,30,0,,,
2834027000,0000000000097780,d,0000000000012e,30,0,,,
2834289000,0000000000097780,d,0000000000012e,30,0,,,
2852840000,0000000000097780,d,0000000000012e,30,0,,,
2853102000,0000000000097780,d,0000000000012e,30,0,,,
2871761000,0000000000097780,d,0000000000012e,30,0,,,
2872023000,0000000000097780,d,0000000000012e,30,0,,,
2890511000,0000000000097780,d,0000000000012e,30,0,,,
2890773000,0000000000097780,d,0000000000012e,30,0,,,
2909336000,0000000000097780,d,0000000000012e,30,0,,,
2909727000,0000000000097780,d,0000000000012e,30,0,,,
2928239000,0000000000097780,d,0000000000012e,30,0,,,
2928501000,0000000000097780,d,0000000000012e,30,0,,,
2953862000,0000000000097780,d,0000000000012e,30,0,,,
2954124000,0000000000097780,d,0000000000012e,30,0,,,
2979377000,0000000000097780,d,0000000000012e,30,0,,,
2979639000,0000000000097780,d,0000000000012e,30,0,,,
3004946000,0000000000097780,d,0000000000012e,30,0,,,
3005208000,0000000000097780,d,0000000000012e,30,0,,,
3030485000,0000000000097780,d,0000000000012e,30,0,,,
3030747000,0000000000097780,d,0000000000012e,30,0,,,
3056168000,0000000000097780,d,0000000000012e,30,0,,,
3056430000,0000000000097780,d,0000000000012e,30,0,,,
3081458000,0000000000097780,d,0000000000012e,30,0,,,
3081720000,0000000000097780,d,0000000000012e,30,0,,,
3106898000,0000000000097780,d,0000000000012e,30,0,,,
3107160000,0000000000097780,d,0000000000012e,30,0,,,
3132770000,0000000000097780,d,0000000000012e,30,0,,,
3133032000,0000000000097780,d,0000000000012e,30,0,,,
3158093000,0000000000097780,d,0000000000012e,30,0,,,
3158355000,0000000000097780,d,0000000000012e,30,0,,,
3183794000,0000000000097780,d,0000000000012e,30,0,,,
3184056000,0000000000097780,d,0000000000012e,30,0,,,
3209474000,0000000000097780,d,0000000000012e,30,0,,,
3209736000,0000000000097780,d,0000000000012e,30,0,,,
3242084000,0000000000097780,d,0000000000012e,30,0,,,
